call_id,timestamp,model_name,provider,num_items_in_call,prompt_tokens,completion_tokens,total_tokens,duration_sec,api_status,error_message
050884de-800e-4907-b8f8-247052b1a352,1749436668.1859777,gemma3,ollama,10,4096,1441,5537,55.94267439842224,SUCCESS,
ada4029a-5787-44f8-a74f-c63d3b082e83,1749436721.8628237,gemma3,ollama,10,4096,1470,5566,51.416467905044556,SUCCESS,
33881184-1aa6-4c28-b166-05b04df24603,1749439710.9415686,gemma3,ollama,10,4096,1618,5714,2986.7429423332214,SUCCESS,
c74cf446-4c4f-46b9-8a8c-e5c7a51a3ba7,1749439768.6758919,gemma3,ollama,10,4096,1476,5572,55.46707773208618,SUCCESS,
44e58b1b-fd4c-44a2-9aab-41db24e830ce,1749439830.0374572,gemma3,ollama,10,4096,1553,5649,59.128509283065796,SUCCESS,
2f73dbab-7a6d-42bc-8d70-c390c3881871,1749439894.5201514,gemma3,ollama,10,4096,1651,5747,62.24059748649597,SUCCESS,
de8e659a-af02-42dc-a338-0f2cdd67ffc2,1749439958.2124083,gemma3,ollama,10,4096,1628,5724,61.43362593650818,SUCCESS,
1f2e255c-3820-4692-9f41-4d1ea9c2146b,1749440023.0015733,gemma3,ollama,10,4096,1679,5775,62.54303288459778,SUCCESS,
dd6152fe-1864-4b59-bb62-3b8135e81f7d,1749440085.82908,gemma3,ollama,10,4096,1613,5709,60.602243185043335,SUCCESS,
0e647362-5037-48d8-8741-d12deb85c447,1749440144.2428434,gemma3,ollama,10,4096,1472,5568,56.17226529121399,SUCCESS,
7cdd6254-9d71-4f58-8057-b55707ff6301,1749440200.0741205,gemma3,ollama,10,4096,1420,5516,53.589675426483154,SUCCESS,
c65d3d8e-23fe-4973-9d31-b5768bf8eb30,1749440258.743447,gemma3,ollama,10,4096,1508,5604,56.42489695549011,SUCCESS,
22bbd5f4-f645-476f-8841-7e3446d182ce,1749440321.2747965,gemma3,ollama,10,4096,1609,5705,60.29384922981262,SUCCESS,
d94e16c2-006f-4cbf-860f-e714127d9356,1749440378.5225487,gemma3,ollama,10,4096,1461,5557,55.0138463973999,SUCCESS,
7ed99ce4-f92e-445e-bed9-d5924988f14b,1749440442.6982937,gemma3,ollama,10,4096,1629,5725,61.9365074634552,SUCCESS,
365f0385-f55e-4368-8574-2151719e698b,1749440447.67737,gemma3,ollama,10,4096,2,4098,2.738943576812744,SUCCESS,
ef274ad3-098a-448c-940c-faa708042946,1749440513.7869592,gemma3,ollama,10,4096,1699,5795,63.85779070854187,SUCCESS,
