Métrica,l0_size,Média,Mediana,DesvioPadrão,Mínimo,P25,P75,Máximo,IQR,CV (Mediana)
Acurácia,10,0.0666486929083538,0.06886945060212091,0.023793365724529295,0.02560262017454516,0.045917959778723066,0.08824616060551595,0.1021708305873425,0.04232820082679288,0.3454850470131601
Acurácia,20,0.10501201579027951,0.11005931340243244,0.023252659926830784,0.04938789367523416,0.08918479020629881,0.12180716154414556,0.1381183472130689,0.03262237133784675,0.21127389401870444
Acurácia,30,0.1395309514775095,0.1386775308050247,0.022874167251170717,0.09528088990074492,0.12531204441515387,0.15538314061470254,0.1813951630619296,0.030071096199548675,0.16494501274605117
Acurácia,40,0.1597128192838456,0.1594472070776666,0.022555345160257777,0.1002736005432069,0.1445889002056997,0.17824476264653608,0.1910211091805963,0.033655862440836376,0.14145964317713916
Acurácia,50,0.17848607699425506,0.17975755397120205,0.02182968259331282,0.1240788448864658,0.1644349250094862,0.19855011682942902,0.2084955964292133,0.034115191819942825,0.12143958342563142
Acurácia,60,0.19279984555881746,0.1935074790805424,0.019339647187673413,0.1453877339084936,0.17935314440916264,0.20664829349150243,0.2303836398857668,0.027295149082339792,0.09994263363681753
Acurácia,70,0.2073119911595737,0.20658838096379284,0.013829839613845686,0.1771613444371218,0.19641323667445532,0.21896031793581372,0.2293850977572744,0.022547081261358404,0.06694393693576406
Acurácia,80,0.22426856789087932,0.22391308689313605,0.014748210588848525,0.2027240229265273,0.2118906396660875,0.23471232001278133,0.2523116250274599,0.022821680346693823,0.065865781797834
Acurácia,90,0.23534905704338333,0.2338086393864957,0.01928668938176171,0.2049807281369201,0.22076767918838494,0.2497503644678769,0.2778343618317257,0.028982685279491965,0.08248920719901533
Acurácia,100,0.24745271903021587,0.24740878317656217,0.01577549163294539,0.2171429712619575,0.2365646156611347,0.2566053561799772,0.281069638328041,0.020040740518842498,0.06376285985742236
Acurácia,200,0.3331649125609943,0.3329339164819364,0.01592023220657962,0.3061929582809099,0.32094641822938513,0.34500629081540957,0.3695604417550377,0.024059872586024433,0.04781799441459246
Acurácia,300,0.3909152637149761,0.39193777085455234,0.010388987944865506,0.365446448185649,0.3877039522297446,0.3974896650889701,0.4089229724602081,0.009785712859225526,0.026506728085194216
Acurácia,400,0.4345728569621686,0.4335170650849759,0.009774766317488607,0.4170511053861363,0.4294030715155872,0.43879436023405827,0.4650610109240509,0.009391288718471058,0.0225475928912395
Acurácia,500,0.4683668510641131,0.46699818265332615,0.008229781666833396,0.4524993509476165,0.4627793421604457,0.47494158528548314,0.4832145068200427,0.012162243125037442,0.017622727357206883
Acurácia,600,0.4914371684008015,0.49249096319373714,0.00768961938476153,0.4711720887504244,0.48599544664789407,0.49636031394164515,0.5086373894114593,0.010364867293751079,0.015613726837304106
Acurácia,700,0.5125070730067435,0.5126315579254288,0.00711366110942421,0.4965750004992711,0.5079434026321571,0.5156072134683363,0.529686657480079,0.007663810836179175,0.013876752192814208
